item,scrape_datetime,price
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-03 18:06:52,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-03 18:06:53,69.00
caran dache rot,2024-02-03 18:06:53,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-03 18:07:35,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-03 18:07:36,69.00
caran dache rot,2024-02-03 18:07:36,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-03 18:16:39,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-03 18:16:39,69.00
caran dache rot,2024-02-03 18:16:40,7.80
Helly Hansen Daybreaker Fleece Jacke - Herren - spruce,2024-02-03 18:18:46,69.00
Helly Hansen Daybreaker Fleece Jacke - Herren - schwarz,2024-02-03 18:18:47,69.00
caran dache rot,2024-02-03 18:18:47,7.80
